time,sales,is_weekend
2026-01-01 00:00:00,509.1002,0.0000
2026-01-02 00:00:00,574.5999,0.0000
2026-01-03 00:00:00,625.2822,0.0000
2026-01-04 00:00:00,572.7620,0.0000
2026-01-05 00:00:00,469.4615,0.0000
2026-01-06 00:00:00,389.7595,1.0000
2026-01-07 00:00:00,419.9321,1.0000
2026-01-08 00:00:00,501.8615,0.0000
2026-01-09 00:00:00,604.8207,0.0000
2026-01-10 00:00:00,608.1842,0.0000
2026-01-11 00:00:00,573.2135,0.0000
2026-01-12 00:00:00,466.1674,0.0000
2026-01-13 00:00:00,386.5049,1.0000
2026-01-14 00:00:00,415.7089,1.0000
2026-01-15 00:00:00,528.6066,0.0000
2026-01-16 00:00:00,609.0137,0.0000
2026-01-17 00:00:00,659.1722,0.0000
2026-01-18 00:00:00,596.0288,0.0000
2026-01-19 00:00:00,486.4521,0.0000
2026-01-20 00:00:00,385.3600,1.0000
2026-01-21 00:00:00,408.9379,1.0000
2026-01-22 00:00:00,514.6293,0.0000
2026-01-23 00:00:00,613.2751,0.0000
2026-01-24 00:00:00,654.8390,0.0000
2026-01-25 00:00:00,597.2104,0.0000
2026-01-26 00:00:00,481.0652,0.0000
2026-01-27 00:00:00,421.1682,1.0000
2026-01-28 00:00:00,442.2342,1.0000
2026-01-29 00:00:00,510.3028,0.0000
2026-01-30 00:00:00,629.9529,0.0000
2026-01-31 00:00:00,638.6535,0.0000
2026-02-01 00:00:00,585.1142,0.0000
2026-02-02 00:00:00,461.7732,0.0000
2026-02-03 00:00:00,430.3977,1.0000
2026-02-04 00:00:00,467.4914,1.0000
2026-02-05 00:00:00,520.4305,0.0000
2026-02-06 00:00:00,641.0231,0.0000
2026-02-07 00:00:00,637.5654,0.0000
2026-02-08 00:00:00,590.2597,0.0000
2026-02-09 00:00:00,477.6982,0.0000
2026-02-10 00:00:00,449.0377,1.0000
2026-02-11 00:00:00,466.7816,1.0000
2026-02-12 00:00:00,570.2268,0.0000
2026-02-13 00:00:00,631.3180,0.0000
2026-02-14 00:00:00,680.7363,0.0000
2026-02-15 00:00:00,616.0409,0.0000
2026-02-16 00:00:00,503.6681,0.0000
2026-02-17 00:00:00,460.2183,1.0000
2026-02-18 00:00:00,470.0265,1.0000
2026-02-19 00:00:00,547.9404,0.0000
2026-02-20 00:00:00,664.6744,0.0000
2026-02-21 00:00:00,677.2532,0.0000
2026-02-22 00:00:00,600.1177,0.0000
2026-02-23 00:00:00,517.4242,0.0000
2026-02-24 00:00:00,425.2230,1.0000
2026-02-25 00:00:00,469.6336,1.0000
2026-02-26 00:00:00,570.0383,0.0000
2026-02-27 00:00:00,637.3467,0.0000
2026-02-28 00:00:00,694.0199,0.0000
2026-03-01 00:00:00,602.2759,0.0000
2026-03-02 00:00:00,527.4212,0.0000
2026-03-03 00:00:00,448.2651,1.0000
2026-03-04 00:00:00,457.0529,1.0000
2026-03-05 00:00:00,600.5665,0.0000
2026-03-06 00:00:00,648.8284,0.0000
2026-03-07 00:00:00,677.8058,0.0000
2026-03-08 00:00:00,631.5535,0.0000
2026-03-09 00:00:00,515.5894,0.0000
2026-03-10 00:00:00,466.1301,1.0000
2026-03-11 00:00:00,487.6816,1.0000
2026-03-12 00:00:00,587.8266,0.0000
2026-03-13 00:00:00,681.2011,0.0000
2026-03-14 00:00:00,693.1028,0.0000
2026-03-15 00:00:00,625.2389,0.0000
2026-03-16 00:00:00,546.4613,0.0000
2026-03-17 00:00:00,469.4578,1.0000
2026-03-18 00:00:00,498.4067,1.0000
2026-03-19 00:00:00,613.1955,0.0000
2026-03-20 00:00:00,662.8440,0.0000
2026-03-21 00:00:00,700.6585,0.0000
2026-03-22 00:00:00,651.2361,0.0000
2026-03-23 00:00:00,522.8337,0.0000
2026-03-24 00:00:00,494.1074,1.0000
2026-03-25 00:00:00,500.8470,1.0000
2026-03-26 00:00:00,591.6185,0.0000
2026-03-27 00:00:00,680.5414,0.0000
2026-03-28 00:00:00,743.5316,0.0000
2026-03-29 00:00:00,633.7939,0.0000
2026-03-30 00:00:00,569.6064,0.0000
2026-03-31 00:00:00,500.0364,1.0000
2026-04-01 00:00:00,534.0545,1.0000
2026-04-02 00:00:00,619.2623,0.0000
2026-04-03 00:00:00,696.5668,0.0000
2026-04-04 00:00:00,731.0901,0.0000
2026-04-05 00:00:00,685.9471,0.0000
2026-04-06 00:00:00,538.9785,0.0000
2026-04-07 00:00:00,515.7061,1.0000
2026-04-08 00:00:00,531.2517,1.0000
